,Surroundings,Inventory,Action,Response,Reward,Reward_Type,Score,Moves,Total_Moves
10,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach there is a bird's nest here you are empty-handed,you are empty-handed,go down,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,1.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed - moved around - ,18.5,10,10
11,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed ,go west,forest,-0.5, - moved around - ,18.0,11,11
12,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest ,-0.5, - moved around - ,17.5,12,12
13,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,17.0,13,13
14,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,-0.5, - moved around - ,16.5,14,14
15,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed,go south,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees,1.5, new area score ---north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed - moved around - ,18.0,15,15
16,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go southeast,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar,1.5, new area score ---behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed - moved around - ,19.5,16,16
17,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed,you are empty-handed,go south,south of house,-0.5, - moved around - ,19.0,17,17
18,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,18.5,18,18
19,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,18.0,19,19
20,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,17.5,20,20
21,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed ,go west,forest,-0.5, - moved around - ,17.0,21,21
22,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,-0.5, - moved around - ,16.5,22,22
23,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed,pour path in crystal,you can't see any crystal here,-1.0,,15.5,23,23
24,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed,go west,forest ,-0.5, - moved around - ,15.0,24,24
25,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,,1.5, new area score ---forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung forest path score 0 moves 117 forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed - moved around - ,16.5,25,25
26,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,16.0,26,26
27,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,15.5,27,27
28,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,15.0,28,28
29,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go west,forest ,-0.5, - moved around - ,14.5,29,29
30,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,14.0,30,30
31,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed ,go west,forest ,-0.5, - moved around - ,13.5,31,31
32,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest ,-0.5, - moved around - ,13.0,32,32
33,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,12.5,33,33
34,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,-0.5, - moved around - ,12.0,34,34
35,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed,go up,up a tree there is a bird's nest here,-0.5, - moved around - ,11.5,35,35
36,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach there is a bird's nest here you are empty-handed,you are empty-handed,go down,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,-0.5, - moved around - ,11.0,36,36
37,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed,go east,forest this is a dimly lit forest with large trees all around,-0.5, - moved around - ,10.5,37,37
38,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,-0.5, - moved around - ,10.0,38,38
39,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed ,go east,forest,-0.5, - moved around - ,9.5,39,39
40,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung ,-0.5, - moved around - ,9.0,40,40
41,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed,go south,north of house,-0.5, - moved around - ,8.5,41,41
42,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go west,west of house there is a small mailbox here,1.5, new area score ---west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed - moved around - ,10.0,42,42
43,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go north,north of house,-0.5, - moved around - ,9.5,43,43
44,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go southeast,behind house,-0.5, - moved around - ,9.0,44,44
45,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed,you are empty-handed,go east,clearing you are in a small clearing in a well marked forest path that extends to the east and west,1.5, new area score ---clearing you are in a small clearing in a well marked forest path that extends to the east and west you are empty-handed - moved around - ,10.5,45,45
46,clearing you are in a small clearing in a well marked forest path that extends to the east and west you are empty-handed,you are empty-handed,go north,forest,-0.5, - moved around - ,10.0,46,46
47,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,-0.5, - moved around - ,9.5,47,47
48,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,9.0,48,48
49,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed ,go east,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,-0.5, - moved around - ,8.5,49,49
50,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed,go east,forest,-0.5, - moved around - ,8.0,50,50
51,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,enter trees,you hit your head against the forest as you attempt this feat,-1.0,,7.0,51,51
52,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,-0.5, - moved around - ,6.5,52,52
53,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,6.0,53,53
54,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go south,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,-0.5, - moved around - ,5.5,54,54
55,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed,go west,forest ,-0.5, - moved around - ,5.0,55,55
56,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed ,go east,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,-0.5, - moved around - ,4.5,56,56
57,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed,go up,up a tree there is a bird's nest here ,-0.5, - moved around - ,4.0,57,57
58,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach there is a bird's nest here you are empty-handed,you are empty-handed,read nest with bird,taken how does one look through a songbird ,4.5, inventory score (you are empty-handed --- you are carrying a bird's nest) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest - moved around - ,8.5,58,58
59,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest,you are carrying a bird's nest,go down,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,1.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest - moved around - ,10.0,59,59
60,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest,you are carrying a bird's nest ,unlock tree with nest,it doesn't seem to work,-1.0,,9.0,60,60
61,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest,you are carrying a bird's nest,go west,forest,1.5, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest - moved around - ,10.5,61,61
62,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest,you are carrying a bird's nest,go north,clearing on the ground is a pile of leaves,1.5, new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest - moved around - ,12.0,62,62
63,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest,you are carrying a bird's nest,go west,forest,-0.5, - moved around - ,11.5,63,63
64,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest,you are carrying a bird's nest,go south,forest,1.5, new area score ---forest this is a dimly lit forest with large trees all around you are carrying a bird's nest - moved around - ,13.0,64,64
65,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest,you are carrying a bird's nest,leave nest,dropped,4.5, inventory score (you are carrying a bird's nest --- you are empty-handed) new area score ---forest this is a dimly lit forest with large trees all around there is a bird's nest here you are empty-handed - moved around - ,17.5,65,65
66,forest this is a dimly lit forest with large trees all around there is a bird's nest here you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,17.0,66,66
67,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,16.5,67,67
68,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,16.0,68,68
69,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest there is a bird's nest here,-0.5, - moved around - ,15.5,69,69
70,forest this is a dimly lit forest with large trees all around there is a bird's nest here you are empty-handed,you are empty-handed,read nest with bird,taken how does one look through a songbird,0.0, - moved around - ,15.5,70,70
71,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest,you are carrying a bird's nest,go west,forest,-0.5, - moved around - ,15.0,71,71
72,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest,you are carrying a bird's nest,go south,forest,-0.5, - moved around - ,14.5,72,72
73,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest,you are carrying a bird's nest ,leave nest,dropped ,2.5, inventory score (you are carrying a bird's nest  --- you are empty-handed) - moved around - ,17.0,73,73
74,forest this is a dimly lit forest with large trees all around there is a bird's nest here you are empty-handed,you are empty-handed,eat nest,taken i don't think that the bird's nest would agree with you,0.0, - moved around - ,17.0,74,74
75,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest,you are carrying a bird's nest,go west,forest ,-0.5, - moved around - ,16.5,75,75
76,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest,you are carrying a bird's nest,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,16.0,76,76
77,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest,you are carrying a bird's nest,go south,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,-0.5, - moved around - ,15.5,77,77
78,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest,you are carrying a bird's nest,go west,forest,-0.5, - moved around - ,15.0,78,78
79,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest,you are carrying a bird's nest,go east,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,-0.5, - moved around - ,14.5,79,79
80,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest,you are carrying a bird's nest ,pour nest,dropped,2.0, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a bird's nest here there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed - moved around - ,16.5,80,80
81,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a bird's nest here there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are empty-handed,you are empty-handed,get nest,taken,0.0, - moved around - ,16.5,81,81
82,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest,you are carrying a bird's nest,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,16.0,82,82
83,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest,you are carrying a bird's nest,go east,forest,-0.5, - moved around - ,15.5,83,83
84,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest,you are carrying a bird's nest,pour nest,dropped,0.0, - moved around - ,15.5,84,84
