,Surroundings,Inventory,Action,Response,Reward,Reward_Type,Score,Moves,Total_Moves
10,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest you are carrying a jewel-encrusted egg,you are carrying a jewel-encrusted egg,get nest,taken,4.5, inventory score (you are carrying a jewel-encrusted egg --- you are carrying a bird's nest a jewel-encrusted egg) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest a jewel-encrusted egg - moved around - ,23.5,10,10
11,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest a jewel-encrusted egg,you are carrying a bird's nest a jewel-encrusted egg,go down,forest path,1.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest a jewel-encrusted egg - moved around - ,25.0,11,11
12,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest a jewel-encrusted egg,you are carrying a bird's nest a jewel-encrusted egg,leave nest,dropped,4.5, inventory score (you are carrying a bird's nest a jewel-encrusted egg --- you are carrying a jewel-encrusted egg) new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a bird's nest here you are carrying a jewel-encrusted egg - moved around - ,29.5,12,12
13,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a bird's nest here you are carrying a jewel-encrusted egg,you are carrying a jewel-encrusted egg,pour tree in nest,,1.0, new area score ---you're not carrying the tree forest path score 5 moves 159 forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a bird's nest here you are carrying a jewel-encrusted egg,30.5,13,13
14,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a bird's nest here you are carrying a jewel-encrusted egg,you are carrying a jewel-encrusted egg,read nest,taken how does one read a bird's nest ,0.0, - moved around - ,30.5,14,14
15,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest a jewel-encrusted egg,you are carrying a bird's nest a jewel-encrusted egg,go west,forest,1.5, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest a jewel-encrusted egg - moved around - ,32.0,15,15
16,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest a jewel-encrusted egg,you are carrying a bird's nest a jewel-encrusted egg,pour egg on forest,you can't pour that,-1.0,,31.0,16,16
17,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest a jewel-encrusted egg,you are carrying a bird's nest a jewel-encrusted egg,play forest,that's silly,-1.0,,30.0,17,17
18,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest a jewel-encrusted egg,you are carrying a bird's nest a jewel-encrusted egg,go south,forest,1.5, new area score ---forest this is a dimly lit forest with large trees all around you are carrying a bird's nest a jewel-encrusted egg - moved around - ,31.5,18,18
19,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest a jewel-encrusted egg,you are carrying a bird's nest a jewel-encrusted egg,go west,forest,-0.5, - moved around - ,31.0,19,19
20,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest a jewel-encrusted egg,you are carrying a bird's nest a jewel-encrusted egg,leave egg,dropped,1.5, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are carrying a bird's nest - moved around - ,32.5,20,20
21,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are carrying a bird's nest,you are carrying a bird's nest,go northeast,you can't go that way,-1.0,,31.5,21,21
22,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are carrying a bird's nest,you are carrying a bird's nest,pull nest,you aren't an accomplished enough juggler,-1.0,,30.5,22,22
23,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are carrying a bird's nest,you are carrying a bird's nest,go up,there is no tree here suitable for climbing,-1.0,,29.5,23,23
24,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are carrying a bird's nest,you are carrying a bird's nest ,go southwest,you can't go that way,-1.0,,28.5,24,24
25,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are carrying a bird's nest,you are carrying a bird's nest ,ask egg,you can't talk to the jewel-encrusted egg,-1.0,,27.5,25,25
26,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are carrying a bird's nest,you are carrying a bird's nest,find nest,you have it,-1.0,,26.5,26,26
27,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are carrying a bird's nest,you are carrying a bird's nest,break egg,what do you want to break the egg with,-1.0,,25.5,27,27
28,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are carrying a bird's nest,you are carrying a bird's nest,go north,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves,1.5, new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest - moved around - ,27.0,28,28
29,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest,you are carrying a bird's nest,pour nest,dropped,4.5, inventory score (you are carrying a bird's nest --- you are empty-handed) new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south there is a bird's nest here on the ground is a pile of leaves you are empty-handed - moved around - ,31.5,29,29
30,clearing you are in a clearing with a forest surrounding you on all sides a path leads south there is a bird's nest here on the ground is a pile of leaves you are empty-handed,you are empty-handed,read nest with bird,taken you can't see any bird here,2.5, inventory score (you are empty-handed --- you are carrying a bird's nest) - moved around - ,34.0,30,30
31,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest,you are carrying a bird's nest,go east,forest this is a dimly lit forest with large trees all around,1.5, new area score ---forest this is a dimly lit forest with large trees all around you are carrying a bird's nest - moved around - ,35.5,31,31
32,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest,you are carrying a bird's nest,go west,forest path,1.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest - moved around - ,37.0,32,32
33,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,go up,up a tree ,1.5, new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest - moved around - ,38.5,33,33
34,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest,you are carrying a bird's nest,go down,forest path,-0.5, - moved around - ,38.0,34,34
35,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,37.5,35,35
36,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest,you are carrying a bird's nest,go west,forest there is a jewel-encrusted egg here,-0.5, - moved around - ,37.0,36,36
37,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are carrying a bird's nest,you are carrying a bird's nest,go east,forest path,-0.5, - moved around - ,36.5,37,37
38,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,give tree to path,you don't have the tree,-1.0,,35.5,38,38
39,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,leave nest,dropped,2.0, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a bird's nest here you are empty-handed - moved around - ,37.5,39,39
40,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a bird's nest here you are empty-handed,you are empty-handed,hide branches on tree,you don't have the tree,-1.0,,36.5,40,40
41,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a bird's nest here you are empty-handed,you are empty-handed,eat nest,taken i don't think that the bird's nest would agree with you,2.5, inventory score (you are empty-handed --- you are carrying a bird's nest ) - moved around - ,39.0,41,41
42,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest ,leave nest,dropped,2.5, inventory score (you are carrying a bird's nest  --- you are empty-handed) - moved around - ,41.5,42,42
43,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a bird's nest here you are empty-handed,you are empty-handed,get nest,taken ,0.0, - moved around - ,41.5,43,43
44,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,go south,north of house,1.5, new area score ---north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest - moved around - ,43.0,44,44
45,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest,you are carrying a bird's nest,move trees in nest,you don't have that,-1.0,,42.0,45,45
46,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest,you are carrying a bird's nest,go east,behind house,1.5, new area score ---behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are carrying a bird's nest - moved around - ,43.5,46,46
47,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are carrying a bird's nest,you are carrying a bird's nest,go south,south of house,1.5, new area score ---south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are carrying a bird's nest - moved around - ,45.0,47,47
48,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are carrying a bird's nest,you are carrying a bird's nest,leave nest,dropped,2.0, new area score ---south of house you are facing the south side of a white house there is no door here and all the windows are boarded there is a bird's nest here you are empty-handed - moved around - ,47.0,48,48
49,south of house you are facing the south side of a white house there is no door here and all the windows are boarded there is a bird's nest here you are empty-handed,you are empty-handed,break bird,what do you want to break the bird with,-1.0,,46.0,49,49
50,south of house you are facing the south side of a white house there is no door here and all the windows are boarded there is a bird's nest here you are empty-handed,you are empty-handed,go east,behind house,-0.5, - moved around - ,45.5,50,50
51,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed,you are empty-handed,go northwest,north of house,-0.5, - moved around - ,45.0,51,51
52,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go east,behind house,-0.5, - moved around - ,44.5,52,52
53,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed,you are empty-handed,unlock window with forest,you can't see any forest here,-1.0,,43.5,53,53
54,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed,you are empty-handed,open window,with great effort you open the window far enough to allow entry,1.5, new area score ---behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are empty-handed - moved around - ,45.0,54,54
55,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are empty-handed,you are empty-handed,go west,kitchen you are in the kitchen of the white house a table seems to have been used recently for the preparation of food a passage leads to the west and a dark staircase can be seen leading upward a dark chimney leads down and to the east is a small window which is open on the table is an elongated brown sack smelling of hot peppers a bottle is sitting on the table the glass bottle contains a quantity of water,11.5, game score: 10  new area score ---kitchen you are in the kitchen of the white house a table seems to have been used recently for the preparation of food a passage leads to the west and a dark staircase can be seen leading upward a dark chimney leads down and to the east is a small window which is open on the table is an elongated brown sack smelling of hot peppers a bottle is sitting on the table the glass bottle contains a quantity of water you are empty-handed - moved around - ,56.5,55,55
56,kitchen you are in the kitchen of the white house a table seems to have been used recently for the preparation of food a passage leads to the west and a dark staircase can be seen leading upward a dark chimney leads down and to the east is a small window which is open on the table is an elongated brown sack smelling of hot peppers a bottle is sitting on the table the glass bottle contains a quantity of water you are empty-handed,you are empty-handed,read passage with window,how does one look through a kitchen window,-1.0,,55.5,56,56
57,kitchen you are in the kitchen of the white house a table seems to have been used recently for the preparation of food a passage leads to the west and a dark staircase can be seen leading upward a dark chimney leads down and to the east is a small window which is open on the table is an elongated brown sack smelling of hot peppers a bottle is sitting on the table the glass bottle contains a quantity of water you are empty-handed,you are empty-handed,go east,behind house,-0.5, - moved around - ,55.0,57,57
58,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are empty-handed,you are empty-handed,enter window,kitchen on the table is an elongated brown sack smelling of hot peppers a bottle is sitting on the table the glass bottle contains a quantity of water,-0.5, - moved around - ,54.5,58,58
59,kitchen you are in the kitchen of the white house a table seems to have been used recently for the preparation of food a passage leads to the west and a dark staircase can be seen leading upward a dark chimney leads down and to the east is a small window which is open on the table is an elongated brown sack smelling of hot peppers a bottle is sitting on the table the glass bottle contains a quantity of water you are empty-handed,you are empty-handed,go up,you have moved into a dark place it is pitch black you are likely to be eaten by a grue,1.5, new area score ---it is pitch black you are likely to be eaten by a grue you are empty-handed - moved around - ,56.0,59,59
60,it is pitch black you are likely to be eaten by a grue you are empty-handed,you are empty-handed,go down,kitchen on the table is an elongated brown sack smelling of hot peppers a bottle is sitting on the table the glass bottle contains a quantity of water,-0.5, - moved around - ,55.5,60,60
61,kitchen you are in the kitchen of the white house a table seems to have been used recently for the preparation of food a passage leads to the west and a dark staircase can be seen leading upward a dark chimney leads down and to the east is a small window which is open on the table is an elongated brown sack smelling of hot peppers a bottle is sitting on the table the glass bottle contains a quantity of water you are empty-handed,you are empty-handed,give water to window,you don't have the quantity of water,-1.0,,54.5,61,61
62,kitchen you are in the kitchen of the white house a table seems to have been used recently for the preparation of food a passage leads to the west and a dark staircase can be seen leading upward a dark chimney leads down and to the east is a small window which is open on the table is an elongated brown sack smelling of hot peppers a bottle is sitting on the table the glass bottle contains a quantity of water you are empty-handed,you are empty-handed,go up,you have moved into a dark place it is pitch black you are likely to be eaten by a grue,-0.5, - moved around - ,54.0,62,62
63,it is pitch black you are likely to be eaten by a grue you are empty-handed,you are empty-handed,go up,oh no you have walked into the slavering fangs of a lurking grue you have died now let's take a look here well you probably deserve another chance i can't quite fix you up completely but you can't have everything forest there is a jewel-encrusted egg here,-8.5, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are empty-handed - moved around - ,45.5,63,63
64,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,go east,forest path,-0.5, - moved around - ,45.0,64,64
65,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,play branches,that's silly ,-1.0,,44.0,65,65
66,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go up,up a tree,1.5, new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are empty-handed - moved around - ,45.5,66,66
67,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are empty-handed,you are empty-handed,go down,forest path,-0.5, - moved around - ,45.0,67,67
68,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go north,clearing on the ground is a pile of leaves,1.5, new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed - moved around - ,46.5,68,68
69,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go east,forest,-0.5, - moved around - ,46.0,69,69
70,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path,-0.5, - moved around - ,45.5,70,70
71,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,45.0,71,71
72,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go south,forest path,-0.5, - moved around - ,44.5,72,72
73,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,move forest,you can't move the forest,-1.0,,43.5,73,73
74,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go west,forest there is a jewel-encrusted egg here ,-0.5, - moved around - ,43.0,74,74
75,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,pour egg from jewel,you can't see any jewel here,-1.0,,42.0,75,75
76,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,41.5,76,76
77,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest there is a jewel-encrusted egg here,-0.5, - moved around - ,41.0,77,77
78,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are empty-handed,you are empty-handed ,make egg,you can't do that,-1.0,,40.0,78,78
79,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,39.5,79,79
80,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go west,forest there is a jewel-encrusted egg here,-0.5, - moved around - ,39.0,80,80
81,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,go east,forest path ,-0.5, - moved around - ,38.5,81,81
82,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go south,north of house,-0.5, - moved around - ,38.0,82,82
83,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go north,forest path,-0.5, - moved around - ,37.5,83,83
84,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,37.0,84,84
85,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go south,forest path ,-0.5, - moved around - ,36.5,85,85
86,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go up,up a tree,-0.5, - moved around - ,36.0,86,86
87,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are empty-handed,you are empty-handed,go down,forest path,-0.5, - moved around - ,35.5,87,87
88,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go west,forest there is a jewel-encrusted egg here ,-0.5, - moved around - ,35.0,88,88
89,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,34.5,89,89
90,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go west,forest there is a jewel-encrusted egg here,-0.5, - moved around - ,34.0,90,90
91,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,go east,forest path,-0.5, - moved around - ,33.5,91,91
92,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,33.0,92,92
93,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go west,forest there is a jewel-encrusted egg here ,-0.5, - moved around - ,32.5,93,93
94,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a jewel-encrusted egg here you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,32.0,94,94
95,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go east,forest,-0.5, - moved around - ,31.5,95,95
96,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path,-0.5, - moved around - ,31.0,96,96
97,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go south,north of house,-0.5, - moved around - ,30.5,97,97
98,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go southeast,behind house,-0.5, - moved around - ,30.0,98,98
99,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are empty-handed,you are empty-handed,go southwest,,1.5, new area score ---south of house there is a bird's nest here south of house score 5 moves 412 south of house you are facing the south side of a white house there is no door here and all the windows are boarded there is a bird's nest here you are empty-handed - moved around - ,31.5,99,99
100,south of house you are facing the south side of a white house there is no door here and all the windows are boarded there is a bird's nest here you are empty-handed,you are empty-handed,leave nest,you're not carrying the bird's nest,-1.0,,30.5,100,100
101,south of house you are facing the south side of a white house there is no door here and all the windows are boarded there is a bird's nest here you are empty-handed,you are empty-handed,go east,behind house,-0.5, - moved around - ,30.0,101,101
102,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are empty-handed,you are empty-handed,go south,south of house there is a bird's nest here,-0.5, - moved around - ,29.5,102,102
103,south of house you are facing the south side of a white house there is no door here and all the windows are boarded there is a bird's nest here you are empty-handed,you are empty-handed,move door,you can't see any door here,-1.0,,28.5,103,103
104,south of house you are facing the south side of a white house there is no door here and all the windows are boarded there is a bird's nest here you are empty-handed,you are empty-handed,pick door with nest,you can't see any door here,-1.0,,27.5,104,104
105,south of house you are facing the south side of a white house there is no door here and all the windows are boarded there is a bird's nest here you are empty-handed,you are empty-handed,go east,behind house,-0.5, - moved around - ,27.0,105,105
106,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are empty-handed,you are empty-handed,go north,north of house,-0.5, - moved around - ,26.5,106,106
107,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,burn trees with windows,you don't have the boarded window,-1.0,,25.5,107,107
108,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,pick path with windows,you can't pick that,-1.0,,24.5,108,108
109,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go north,forest path ,-0.5, - moved around - ,24.0,109,109
110,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go south,north of house,-0.5, - moved around - ,23.5,110,110
111,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go southwest,west of house there is a small mailbox here,1.5, new area score ---west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed - moved around - ,25.0,111,111
112,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go west,forest there is a jewel-encrusted egg here,-0.5, - moved around - ,24.5,112,112
